iter	Passed	Remaining
0	0	731
1	1	634
2	1	603
3	2	581
4	2	565
5	3	555
6	3	552
7	4	548
8	4	546
9	5	545
10	6	543
11	6	541
12	7	540
13	7	539
14	8	537
15	8	534
16	9	532
17	9	530
18	10	528
19	10	527
20	11	527
21	11	527
22	12	527
23	12	527
24	13	529
25	14	530
26	14	528
27	15	527
28	15	527
29	16	530
30	17	535
31	17	536
32	18	536
33	18	536
34	19	534
35	19	532
36	20	532
37	20	531
38	21	529
39	22	528
40	22	527
41	23	527
42	23	526
43	24	524
44	24	523
45	25	522
46	25	521
47	26	520
48	26	520
49	27	520
50	27	520
51	28	520
52	29	524
53	29	524
54	30	524
55	31	522
56	31	521
57	32	520
58	32	518
59	33	517
60	33	516
61	34	515
62	34	514
63	35	512
64	35	512
65	36	511
66	36	510
67	37	509
68	37	508
69	38	507
70	38	506
71	39	506
72	39	505
73	40	504
74	40	504
75	41	503
76	41	502
77	42	502
78	43	502
79	43	503
80	44	504
81	45	505
82	45	501
83	45	501
84	46	500
85	46	499
86	47	498
87	48	497
88	48	497
89	49	497
90	49	496
91	50	495
92	50	495
93	51	494
94	51	494
95	52	493
96	52	492
97	53	492
98	54	492
99	54	492
100	55	492
101	55	491
102	56	491
103	57	491
104	57	492
105	58	493
106	59	495
107	60	496
108	60	497
109	61	496
110	61	496
111	62	495
112	63	495
113	63	494
114	64	494
115	64	493
116	65	492
117	66	494
118	66	493
119	67	493
120	67	492
121	68	491
122	68	491
123	69	490
124	70	490
125	70	489
126	71	488
127	71	488
128	72	489
129	73	489
130	73	490
131	74	491
132	75	491
133	75	490
134	76	490
135	77	490
136	77	489
137	78	488
138	78	488
139	79	487
140	79	487
141	80	485
142	80	485
143	81	485
144	82	484
145	82	484
146	83	483
147	83	483
148	84	482
149	84	481
150	85	480
151	85	479
152	86	478
153	86	477
154	87	476
155	88	476
156	88	476
157	89	475
158	89	475
159	90	474
160	90	472
161	91	472
162	91	471
163	92	472
164	93	472
165	94	472
166	94	472
167	95	471
168	95	470
169	96	469
170	96	468
171	97	467
172	97	467
173	98	466
174	98	465
175	99	464
176	99	463
177	100	463
178	100	462
179	101	461
180	101	460
181	102	459
182	102	459
183	103	458
184	104	458
185	104	457
186	105	457
187	105	457
188	106	456
189	107	456
190	107	455
191	108	455
192	108	454
193	109	453
194	109	452
195	110	451
196	110	451
197	111	450
198	111	449
199	112	448
200	112	448
201	113	447
202	113	446
203	114	446
204	114	445
205	115	444
206	115	443
207	116	443
208	116	442
209	117	442
210	118	441
211	118	441
212	119	441
213	120	440
214	120	440
215	121	439
216	121	438
217	122	438
218	122	437
219	123	436
220	123	435
221	124	435
222	124	434
223	125	433
224	125	433
225	126	432
226	126	431
227	127	430
228	127	430
229	128	429
230	128	429
231	129	428
232	129	427
233	130	426
234	130	426
235	131	425
236	132	425
237	133	426
238	134	426
239	134	427
240	135	426
241	136	426
242	136	425
243	137	424
244	137	424
245	138	423
246	138	422
247	139	421
248	139	421
249	140	420
250	140	419
251	141	419
252	141	418
253	142	417
254	142	417
255	143	416
256	143	415
257	144	415
258	144	414
259	145	413
260	145	413
261	146	412
262	147	411
263	147	411
264	148	410
265	148	410
266	149	411
267	150	411
268	151	410
269	151	409
270	152	409
271	152	409
272	153	408
273	153	407
274	154	407
275	154	406
276	155	405
277	155	405
278	156	404
279	156	403
280	157	402
281	158	402
282	158	401
283	159	400
284	159	400
285	160	399
286	160	399
287	161	398
288	161	397
289	162	397
290	162	396
291	163	396
292	164	396
293	164	395
294	165	395
295	166	394
296	167	395
297	167	395
298	168	394
299	168	393
300	169	393
301	169	392
302	170	391
303	170	391
304	171	390
305	171	389
306	172	389
307	172	388
308	173	387
309	174	387
310	174	386
311	175	386
312	175	385
313	176	384
314	176	384
315	177	383
316	177	383
317	178	382
318	179	382
319	179	382
320	180	381
321	180	380
322	181	380
323	181	379
324	182	379
325	182	378
326	183	377
327	184	377
328	184	376
329	185	375
330	185	375
331	186	374
332	186	373
333	187	373
334	187	372
335	188	371
336	188	371
337	189	370
338	189	370
339	190	369
340	190	368
341	191	368
342	191	367
343	192	367
344	193	366
345	193	366
346	194	365
347	194	365
348	195	364
349	196	364
350	196	363
351	197	363
352	197	362
353	198	361
354	198	361
355	199	360
356	199	359
357	200	359
358	200	358
359	201	358
360	201	357
361	202	356
362	202	356
363	203	355
364	204	355
365	204	354
366	205	353
367	205	353
368	206	352
369	206	352
370	207	351
371	207	351
372	208	350
373	209	350
374	209	349
375	210	349
376	210	348
377	211	347
378	211	347
379	212	346
380	213	346
381	213	345
382	214	344
383	214	344
384	215	343
385	215	343
386	216	342
387	216	341
388	217	341
389	217	340
390	218	340
391	218	339
392	219	338
393	220	338
394	220	337
395	221	337
396	221	336
397	222	336
398	222	335
399	223	335
400	224	334
401	224	334
402	225	333
403	225	333
404	226	332
405	226	331
406	227	331
407	227	330
408	228	329
409	228	329
410	229	328
411	229	328
412	230	327
413	230	326
414	231	326
415	231	325
416	232	325
417	233	324
418	233	323
419	234	323
420	234	322
421	235	322
422	235	321
423	236	320
424	236	320
425	237	319
426	237	319
427	238	318
428	239	318
429	239	317
430	240	317
431	240	316
432	241	316
433	241	315
434	242	314
435	242	314
436	243	313
437	243	313
438	244	312
439	244	311
440	245	311
441	245	310
442	246	309
443	247	309
444	247	308
445	248	308
446	248	307
447	249	306
448	249	306
449	250	305
450	250	305
451	251	304
452	251	303
453	252	303
454	253	303
455	253	302
456	254	302
457	255	301
458	255	301
459	256	300
460	256	300
461	257	299
462	257	298
463	258	298
464	258	297
465	259	297
466	259	296
467	260	295
468	260	295
469	261	294
470	261	294
471	262	293
472	262	292
473	263	292
474	263	291
